section_index,section_name,rule_id,source,manual_mapping
6.2.2.1.9,Classical Arabic to Wādı̄ Hadhrami Arabic,Wādı̄-Hadhrami-Arabic-aː_2,index_diachronica_original.html:1421," / ! _[+ emphatic], [+ emphatic]_"
6.2.2.1.10,Classical Arabic to Hassāniyya Arabic,Hassāniyya-Arabic-ʔ,index_diachronica_original.html:1431, / sporadic ; depending on the environment
6.2.2.1.11,Classical Arabic to Iraqi Arabic,Iraqi-Arabic-ɡʲ,index_diachronica_original.html:1445, / sporadic ; in southern regions
6.2.2.1.14,Classical Arabic to Moroccan Arabic,"Moroccan-Arabic-C+labial,+velar",index_diachronica_original.html:1470," / u[-long]_, _u[-long]"
6.2.2.1.14,Classical Arabic to Moroccan Arabic,Moroccan-Arabic-ə_2,index_diachronica_original.html:1473," / _[+ emphatic], [+ emphatic]_ ; near emphatics"
6.2.2.1.14,Classical Arabic to Moroccan Arabic,Moroccan-Arabic-aː-iː-uː,index_diachronica_original.html:1476," / _[+ emphatic], [+ emphatic]_ ; near emphatics"
6.2.2.1.17,Classical Arabic to Tunisian Arabic,Tunisian-Arabic-a,index_diachronica_original.html:1501," / _[+ emphatic], [+ emphatic]_ ; near emphatics"
6.2.2.1.17,Classical Arabic to Tunisian Arabic,Tunisian-Arabic-Vː_2,index_diachronica_original.html:1507, / 
6.2.2.1.19,Biblical Hebrew to Modern Israeli Hebrew,Modern-Israeli-Hebrew-ə,index_diachronica_original.html:1557," / _[+laryngeal], [+laryngeal]_"
6.2.2.1.19,Biblical Hebrew to Modern Israeli Hebrew,Modern-Israeli-Hebrew-ʔ,index_diachronica_original.html:1564, ! 
7.4,Proto-Algonquian to Blackfoot,"Blackfoot-θ,tʃ,ʃ,r",index_diachronica_original.html:1711," / ! C_,_C ; unless adjacent to another consonant"
7.4,Proto-Algonquian to Blackfoot,Blackfoot-tsi,index_diachronica_original.html:1761, ; “(before a prefix; 
7.4,Proto-Algonquian to Blackfoot,Blackfoot-a_2,index_diachronica_original.html:1765," ! #_, _#"
7.5,Proto-Algonquian to Cheyenne,Cheyenne-C-nasal,index_diachronica_original.html:1780," / [+nasal]_, _[+nasal] ; near nasals"
7.5,Proto-Algonquian to Cheyenne,Cheyenne-m,index_diachronica_original.html:1781," / [+nasal]_, _[+nasal] ; near nasals"
7.5,Proto-Algonquian to Cheyenne,Cheyenne-p,index_diachronica_original.html:1782," / C_, _C ; near consonants"
7.6,Proto-Algonquian to Northern East Cree,Northern-East-Cree-a,index_diachronica_original.html:1803, / sporadic ; in some 
7.7,Proto-Algonquian to Southern East Cree,Southern-East-Cree-ʃ,index_diachronica_original.html:1824, / sporadic ; in inland varieties
7.9,Proto-Algonquian to Swampy Cree,Swampy-Cree-ʃ,index_diachronica_original.html:1868, / 
7.11,Proto-Algonquian to Munsee Delaware,Munsee-Delaware-tʃ,index_diachronica_original.html:1896, / sporadic ; in nouns
7.11,Proto-Algonquian to Munsee Delaware,Munsee-Delaware-t-s,index_diachronica_original.html:1897, / sporadic ; diminutives
7.11,Proto-Algonquian to Munsee Delaware,Munsee-Delaware-we,index_diachronica_original.html:1905," ! _,{"
7.12,Proto-Algonquian to Menominee,Menominee-æ,index_diachronica_original.html:1960, / 
7.13,Proto-Algonquian to Miami-Illinois,Miami-Illinois-tʃ,index_diachronica_original.html:1967, / sporadic ; nominal suffixes
7.13,Proto-Algonquian to Miami-Illinois,Miami-Illinois-t,index_diachronica_original.html:1968, / sporadic ; diminutives
7.16,Proto-Algonquian to Piscataway,Piscataway-e,index_diachronica_original.html:2036, / sporadic ; unclear conditioning
8.5.1,Proto-Turkic to Proto-Kypchak,Proto-Kypchak-ew,index_diachronica_original.html:2298,ew → øj → yj
8.5.1.2,Proto-Kypchak to Kyrgyz,Kyrgyz-∅,index_diachronica_original.html:2327, ; (not sure what 
10.1.1.2,Proto-Bali-Sasak-Sumbawan to Sasak,Sasak-Vh,index_diachronica_original.html:2559," ; (again, "
10.1.1.3,Proto-Bali-Sasak-Sumbawan to Sumbawan,Sumbawan-Vh,index_diachronica_original.html:2572," ; (again, "
10.1.2.4,Proto-Philippine to Ibanag,Ibanag-*j,index_diachronica_original.html:2646, / sporadic ; possible exception
10.1.2.9,Proto-Philippine to Tagalog,Tagalog-q,index_diachronica_original.html:2755, ; (not sure what 
10.2,Proto-Austronesian to Proto-Batak,"Proto-Batak-ts,ʈ-ɟ͡ʝ,ɖ-lʲ,ɲ-ʔ,x,s,h-ʀ",index_diachronica_original.html:2781, ; (velar fricative is conjectured
10.2,Proto-Austronesian to Proto-Batak,Proto-Batak-z,index_diachronica_original.html:2783, ; (fricative changes to approximant)
10.2.3,Proto-Malayo-Polynesian to Proto-Malayic,Proto-Malayic-C+-A-POAC+-B-POA,index_diachronica_original.html:2846,α place
10.2.3,Proto-Malayo-Polynesian to Proto-Malayic,Proto-Malayic-C+-A-POAC+-B-POA,index_diachronica_original.html:2846,β place
10.2.5,Proto-Malayo-Polynesian to Palauan,Palauan-ə_2,index_diachronica_original.html:2926, / [+stress]
10.2.5,Proto-Malayo-Polynesian to Palauan,Palauan-V,index_diachronica_original.html:2929, / [-stress]
10.2.5,Proto-Malayo-Polynesian to Palauan,Palauan-q,index_diachronica_original.html:2951,→ ʕ
10.2.6,Proto-Malayo-Polynesian to Proto-North Sarawak,Proto-North-Sarawak-ə,index_diachronica_original.html:2962," / V_, _V ; adjacent to a vowel"
10.2.6,Proto-Malayo-Polynesian to Proto-North Sarawak,Proto-North-Sarawak-bː-dː-dzː-ɡː,index_diachronica_original.html:2970, ; (Whimemsz says
10.2.6.1,Proto-North Sarawak to Kiput,Kiput-ə_2,index_diachronica_original.html:2988," / V_, _V ; adjacent to a vowel"
10.2.6.3,Proto-Malayic to Minangkabau,Minangkabau-h,index_diachronica_original.html:3074, ; sporadic (some exceptions
10.3.2,Proto-Oceanic to Hiw,Hiw-”V+-higher,index_diachronica_original.html:3118,hi
10.3.5.3,Proto-New Caledonia to Nemi-Pije-Fwai,Nemi-Pije-Fwai-ONV,index_diachronica_original.html:3236, / sporadic ; Pije and Fwai
10.3.5.3,Proto-New Caledonia to Nemi-Pije-Fwai,Nemi-Pije-Fwai-f,index_diachronica_original.html:3237, / sporadic ; Pije and Fwai
10.3.5.4.1,Proto-Northern to Nixumwak-Nêlêmwa,Nixumwak-Nêlêmwa-V,index_diachronica_original.html:3251," ; , often"
10.3.5.4.1,Proto-Northern to Nixumwak-Nêlêmwa,Nixumwak-Nêlêmwa-pwʰ-pʰ-tʰ-kʰ,index_diachronica_original.html:3265, / sporadic ; in Nelemwa
10.3.5.4.1,Proto-Northern to Nixumwak-Nêlêmwa,Nixumwak-Nêlêmwa-V+-mid,index_diachronica_original.html:3267," / [+nasal]_, _[+nasal] ; near nasals"
10.3.5.7,Proto-New Caledonia to Pwapwâ,Pwapwâ-bw-mw,index_diachronica_original.html:3321,bw mw → ɡw ŋw → ɡ ŋ / _V[+ rounded]
10.3.5.8,Proto-New Caledonia to Proto-Yunaga,Proto-Yunaga-u-i,index_diachronica_original.html:3336, / 
10.3.11,Proto-Oceanic to Proto-Southern Vanuatu,Proto-Southern-Vanuatu-q,index_diachronica_original.html:3541,q → kw → v 
10.3.11.2.1,Proto-Erromango to Sye,Sye-*L,index_diachronica_original.html:3594,L
10.3.11.2.2,Proto-Erromango to Ura,Ura-*L,index_diachronica_original.html:3616,L
10.3.11.2.2,Proto-Erromango to Ura,Ura-t,index_diachronica_original.html:3625," ! #_, _#"
10.3.11.3.1,Proto-Tanna to Kwamera,Kwamera-ə,index_diachronica_original.html:3652, / 
10.3.11.3.4,Proto-Tanna to Southwest Tanna,Southwest-Tanna-ə,index_diachronica_original.html:3702, / 
10.5,Proto-Austronesian to Proto-Ongan,"Proto-Ongan-qʷ,ku,qu-qʷ-kʷ",index_diachronica_original.html:3781, ; (note that PAn might 
10.5,Proto-Austronesian to Proto-Ongan,"Proto-Ongan-c,*C,s,*S",index_diachronica_original.html:3782," ; (again, "
10.5,Proto-Austronesian to Proto-Ongan,Proto-Ongan-z,index_diachronica_original.html:3786," ; (again, "
10.5,Proto-Austronesian to Proto-Ongan,Proto-Ongan-h,index_diachronica_original.html:3787, ; (Blevins 
10.5,Proto-Austronesian to Proto-Ongan,Proto-Ongan-e,index_diachronica_original.html:3788, ; (?; included here based on 
10.5,Proto-Austronesian to Proto-Ongan,"Proto-Ongan-m,ɲ-n",index_diachronica_original.html:3789, ; (first change marked 
10.6,Proto-Austronesian to Proto-Paiwan,Proto-Paiwan-l-*L,index_diachronica_original.html:3823,L
10.7,Proto-Austronesian to Proto-Rukai,Proto-Rukai-S1-s-d2-*C,index_diachronica_original.html:3851, ; (not sure what 
11.5.2,Proto-Lezgic to Archi,"Archi-ɢ,ɣ",index_diachronica_original.html:3981,"ɣ → q ; (more likely, *ɢ → q instead of → ɣ)"
11.5.3,Proto-Lezgic to Lezghi,Lezghi-ɣ,index_diachronica_original.html:3992," ; (again, "
14.1,Proto-Elamo-Dravidian to Proto-Dravidian,Proto-Dravidian-k-ʃk,index_diachronica_original.html:4497,ʃk → kː / V_V ; k ʃk → k* kː / V_V 
14.3.1,Standard Tamil to Colloquial Tamil,Colloquial-Tamil-i-u_2,index_diachronica_original.html:4553, ! 
15.2.1,Proto-Eskimo to Barrow Iñupiaq,Barrow-Iñupiaq-ə,index_diachronica_original.html:4627," / #_, _#"
15.2.4,Proto-Eskimo to Wales Iñupiaq,Wales-Iñupiaq-ɣ,index_diachronica_original.html:4693, / sporadic ; “in some positions”
15.2.5,Proto-Eskimo to Kuskokwim Yup’ik,Kuskokwim-Yup’ik-s,index_diachronica_original.html:4719, / sporadic ; in certain situations
15.2.5,Proto-Eskimo to Kuskokwim Yup’ik,Kuskokwim-Yup’ik-C+voice,index_diachronica_original.html:4720," / _,{"
15.2.5,Proto-Eskimo to Kuskokwim Yup’ik,Kuskokwim-Yup’ik-F+voice,index_diachronica_original.html:4725," / _,{"
15.2.6,Proto-Eskimo to Nunivak Yup’ik,Nunivak-Yup’ik-s,index_diachronica_original.html:4746, / sporadic ; in certain situations
15.2.6,Proto-Eskimo to Nunivak Yup’ik,Nunivak-Yup’ik-C+voice,index_diachronica_original.html:4747," / _,{"
15.2.6,Proto-Eskimo to Nunivak Yup’ik,Nunivak-Yup’ik-F+voice,index_diachronica_original.html:4755," / _,{"
15.2.7,Proto-Eskimo to Siberian Yup’ik,Siberian-Yup’ik-s,index_diachronica_original.html:4775, / sporadic ; in some dialects
15.2.7,Proto-Eskimo to Siberian Yup’ik,Siberian-Yup’ik-F+voice,index_diachronica_original.html:4782," / _,{"
15.2.8,Proto-Eskimo to Unaaliq Yup’ik,Unaaliq-Yup’ik-s,index_diachronica_original.html:4804, / sporadic ; in certain situations
15.2.8,Proto-Eskimo to Unaaliq Yup’ik,Unaaliq-Yup’ik-F+voice,index_diachronica_original.html:4812," / _,{"
16.1.5,Proto-Tabla-Sentani to Tabla,Tabla-e,index_diachronica_original.html:4924, / [-stress]
17.1.1,Proto-Indo-European to Gheg Albanian,Gheg-Albanian-ḱ_3,index_diachronica_original.html:4962, ; (“[a]rchaic relic”)
17.1.2,Proto-Indo-European to Tosk Albanian,Tosk-Albanian-ḱ_3,index_diachronica_original.html:5001, ; (“[a]rchaic relic”)
17.2.1,Common Anatolian to Hittite,Hittite-V,index_diachronica_original.html:5057, / 
17.2.1,Common Anatolian to Hittite,Hittite-e-o,index_diachronica_original.html:5058, / 
17.2.2,Common Anatolian to Luwian,Luwian-V,index_diachronica_original.html:5085, / 
17.2.2,Common Anatolian to Luwian,Luwian-V_2,index_diachronica_original.html:5086, / 
17.2.2,Common Anatolian to Luwian,Luwian-h,index_diachronica_original.html:5092," ! #_, _#"
17.2.3,Common Anatolian to Lycian,Lycian-kʷ_2,index_diachronica_original.html:5105," ; , in Milyan"
17.2.4,Common Anatolian to Lydian,Lydian-w,index_diachronica_original.html:5141,w → v → f
17.2.4,Common Anatolian to Lydian,"Lydian-e,o",index_diachronica_original.html:5148, / 
17.2.5,Common Anatolian to Palaic,Palaic-a-e,index_diachronica_original.html:5165, / 
17.3.1,Proto-Indo-European to Artsakh Armenian,"Artsakh-Armenian-i,u",index_diachronica_original.html:5188, / sporadic ; in some 
17.3.1,Proto-Indo-European to Artsakh Armenian,Artsakh-Armenian-VN,index_diachronica_original.html:5208,VN → V[+nasal] → V
17.3.2,Proto-Indo-European to Erevan Armenian,"Erevan-Armenian-i,u",index_diachronica_original.html:5225, / sporadic ; in some 
17.3.2,Proto-Indo-European to Erevan Armenian,Erevan-Armenian-VN,index_diachronica_original.html:5245,VN → V[+nasal] → V
17.3.3,Proto-Indo-European to Istanbul Armenian,"Istanbul-Armenian-i,u",index_diachronica_original.html:5262, / sporadic ; in some 
17.3.3,Proto-Indo-European to Istanbul Armenian,Istanbul-Armenian-VN,index_diachronica_original.html:5282,VN → V[+nasal] → V
17.3.4,Proto-Indo-European to Kharpert Armenian,"Kharpert-Armenian-i,u",index_diachronica_original.html:5299, / sporadic ; in some 
17.3.4,Proto-Indo-European to Kharpert Armenian,Kharpert-Armenian-VN,index_diachronica_original.html:5319,VN → V[+nasal] → V
17.3.5,Proto-Indo-European to Sebastia Armenian,"Sebastia-Armenian-i,u",index_diachronica_original.html:5336, / sporadic ; in some 
17.3.5,Proto-Indo-European to Sebastia Armenian,Sebastia-Armenian-VN,index_diachronica_original.html:5355,VN → V[+nasal] → V
17.3.6,Proto-Indo-European to Southeast Armenian,"Southeast-Armenian-i,u",index_diachronica_original.html:5372, / sporadic ; in some 
17.3.6,Proto-Indo-European to Southeast Armenian,Southeast-Armenian-VN,index_diachronica_original.html:5394,VN → V[+nasal] → V
17.3.7,Proto-Indo-European to Southwest Armenian,"Southwest-Armenian-i,u",index_diachronica_original.html:5411, / sporadic ; in some 
17.3.7,Proto-Indo-European to Southwest Armenian,Southwest-Armenian-VN,index_diachronica_original.html:5432,VN → V[+nasal] → V
17.5,Proto-Indo-European to Proto-Celtic,Proto-Celtic-—-e,index_diachronica_original.html:5478, / _Ra sporadic ; (short a only)
17.5,Proto-Indo-European to Proto-Celtic,Proto-Celtic-—-oː,index_diachronica_original.html:5483, / 
17.5.1,Proto-Indo-European to Old Irish,Old-Irish-s,index_diachronica_original.html:5499,s → z / C[+voice]_
17.5.1,Proto-Indo-European to Old Irish,Old-Irish-—-s,index_diachronica_original.html:5551,[]
17.5.1,Proto-Indo-European to Old Irish,Old-Irish-—-hn-hm,index_diachronica_original.html:5552,[]
17.5.1,Proto-Indo-European to Old Irish,Old-Irish-—-st-zd,index_diachronica_original.html:5554,[]
17.5.1,Proto-Indo-European to Old Irish,"Old-Irish-—-l,hl-l,hr-lp,s,n-rp,s-ln",index_diachronica_original.html:5555,[]
17.5.1,Proto-Indo-European to Old Irish,Old-Irish-oː_3,index_diachronica_original.html:5561,[]
17.5.1,Proto-Indo-European to Old Irish,"Old-Irish-—-e,o",index_diachronica_original.html:5567,[]
17.5.1,Proto-Indo-European to Old Irish,Old-Irish-V_3,index_diachronica_original.html:5570, / [-stress]
17.6,Proto-Indo-European to Dacian,Dacian-e,index_diachronica_original.html:5618, / 
17.6,Proto-Indo-European to Dacian,Dacian-e_2,index_diachronica_original.html:5619, / 
17.7.1,Common Germanic to Gothic,Gothic-s_2,index_diachronica_original.html:5685, / 
17.7.1,Common Germanic to Gothic,Gothic-s_3,index_diachronica_original.html:5686, / 
17.7.2.1,West Germanic to Anglo-Frisian,Anglo-Frisian-æː,index_diachronica_original.html:5704,/ sporadic ; “under to [sic] the influence of neighboring consonants”
17.7.2.1,West Germanic to Anglo-Frisian,Anglo-Frisian-i-o,index_diachronica_original.html:5708, / [-stress]
17.7.2.1.2,Old English to Kentish Middle English,Kentish-Middle-English-ɑ-e-o,index_diachronica_original.html:5738, / 
17.7.2.1.2,Old English to Kentish Middle English,Kentish-Middle-English-ɑ-e-o,index_diachronica_original.html:5738, ! 
17.7.2.1.2,Old English to Kentish Middle English,Kentish-Middle-English-Vː_2,index_diachronica_original.html:5740, / 
17.7.2.1.3,Old English to Midlands Middle English,Midlands-Middle-English-ɑ-e-o,index_diachronica_original.html:5760, / 
17.7.2.1.3,Old English to Midlands Middle English,Midlands-Middle-English-ɑ-e-o,index_diachronica_original.html:5760, ! 
17.7.2.1.3,Old English to Midlands Middle English,Midlands-Middle-English-Vː_2,index_diachronica_original.html:5761, / 
17.7.2.1.5,Early Modern English to American English,American-English-o-ɔ,index_diachronica_original.html:5796, ; (most dialects
17.7.2.1.6,Early Modern English to Australian English,Australian-English-uː,index_diachronica_original.html:5819, sporadic ; not in Queensland
17.7.2.1.6,Early Modern English to Australian English,Australian-English-ɪ_3,index_diachronica_original.html:5824, / [-stress]
17.7.2.1.8,Old English to Northern Middle English,Northern-Middle-English-ɑ-e-o,index_diachronica_original.html:5868, / 
17.7.2.1.8,Old English to Northern Middle English,Northern-Middle-English-ɑ-e-o,index_diachronica_original.html:5868, ! 
17.7.2.1.8,Old English to Northern Middle English,Northern-Middle-English-Vː_2,index_diachronica_original.html:5870, / 
17.7.2.1.8,Old English to Northern Middle English,Northern-Middle-English-ʃ,index_diachronica_original.html:5873, / 
17.7.2.1.9,Early Northern Middle English to Scots,Scots-—-ai,index_diachronica_original.html:5896, / _%# ; when stem-final
17.7.2.1.9,Early Northern Middle English to Scots,Scots-—-uː,index_diachronica_original.html:5897, / _%# ; when-stem final
17.7.2.1.9,Early Northern Middle English to Scots,Scots-—-ɛː,index_diachronica_original.html:5905, / sporadic ; in some northern
17.7.2.1.9,Early Northern Middle English to Scots,Scots-—-ɛː,index_diachronica_original.html:5905,ɛː → ɛi → əi
17.7.2.1.12,Old English to Southern Middle English,Southern-Middle-English-ɑ-e-o,index_diachronica_original.html:5998, / 
17.7.2.1.12,Old English to Southern Middle English,Southern-Middle-English-ɑ-e-o,index_diachronica_original.html:5998, ! 
17.7.2.1.12,Old English to Southern Middle English,Southern-Middle-English-Vː_2,index_diachronica_original.html:6000, / 
17.7.2.1.13,Middle English to Yola,Yola-t-d,index_diachronica_original.html:6012," "" / sporadic ; (conditioning unclear)"""
17.7.2.1.13,Middle English to Yola,Yola-ʍ,index_diachronica_original.html:6015, ; (at least one instance of 
17.7.2.2,West Germanic to Old Low Franconian,Old-Low-Franconian-a,index_diachronica_original.html:6043,a → ɒ → o
17.7.2.2.1,Old Low Franconian to Middle Dutch,Middle-Dutch-f-θ-s,index_diachronica_original.html:6061, / $_ ; (h → ɦ?)
17.7.2.2.1,Old Low Franconian to Middle Dutch,Middle-Dutch-V,index_diachronica_original.html:6062," / [-long, -stress]"
17.7.2.2.1,Old Low Franconian to Middle Dutch,Middle-Dutch-V-long-+stress,index_diachronica_original.html:6067, / 
17.7.2.2.2,Middle Dutch to Modern Dutch,Modern-Dutch-—-x-ɣ,index_diachronica_original.html:6078, / sporadic ; in northern dialects
17.7.2.2.2,Middle Dutch to Modern Dutch,Modern-Dutch-—-x-ɣ_2,index_diachronica_original.html:6079, / sporadic ; in southern dialects
17.7.2.3,Middle High German to Standard German,Standard-German-eː-i,index_diachronica_original.html:6105,O:[+delrel]
17.7.2.3,Middle High German to Standard German,Standard-German-uː-yː-iː,index_diachronica_original.html:6109," / sporadic ;, except in certain "
17.7.2.3,Middle High German to Standard German,Standard-German-Vː,index_diachronica_original.html:6114, ; sporadic (some exceptions
17.7.2.3,Middle High German to Standard German,Standard-German-Vː_2,index_diachronica_original.html:6115, ; sporadic (some exceptions
17.7.2.3,Middle High German to Standard German,Standard-German-V_3,index_diachronica_original.html:6118, / sporadic ; in some 
17.7.2.3,Middle High German to Standard German,Standard-German-ə,index_diachronica_original.html:6120, / [-stress]
17.7.2.5,West Germanic to Old Low German,Old-Low-German-f-θ-s,index_diachronica_original.html:6146, / $_ 
17.7.3,Common Germanic to Proto-Norse,Proto-Norse-i,index_diachronica_original.html:6168, ! 
17.7.3.1,Proto-Norse to Old Norse,Old-Norse-VN,index_diachronica_original.html:6195, ! 
17.7.3.1,Proto-Norse to Old Norse,Old-Norse-a_4,index_diachronica_original.html:6204, ! 
17.7.3.1,Proto-Norse to Old Norse,Old-Norse-Vː,index_diachronica_original.html:6221, ! 
17.7.3.1,Proto-Norse to Old Norse,Old-Norse-Ṽ,index_diachronica_original.html:6280, / 
17.7.3.1,Proto-Norse to Old Norse,"Old-Norse-o-æ,e",index_diachronica_original.html:6322, ! 
17.7.3.1.1,Old Norse to Early Icelandic,Early-Icelandic-S-voiceː-S+-voiceː,index_diachronica_original.html:6369, Sʰ 
17.7.3.1.1,Old Norse to Early Icelandic,Early-Icelandic-S-voice,index_diachronica_original.html:6370, Sʰ 
17.7.3.1.3,Old Norse to Shetland Norn,Shetland-Norn-nd-ld,index_diachronica_original.html:6481,nd ld → nː lː
17.7.4,Common Germanic to Vandalic,Vandalic-eː,index_diachronica_original.html:6541, / [-stress]
17.8.2,Proto-Indo-European to Attic Greek,Attic-Greek-oj,index_diachronica_original.html:6604, → yː / sporadic ; (→ yː sometimes)
17.8.8,Proto-Indo-European to Ionic Greek,Ionic-Greek-oj,index_diachronica_original.html:6755, → yː / sporadic ; (→ yː sometimes)
17.11.1,Proto-Slavic to Polish,"Polish-—-ь,ъ_2",index_diachronica_original.html:7028, / 
17.11.1,Proto-Slavic to Polish,Polish-V,index_diachronica_original.html:7057, / [-stress]
17.11.1,Proto-Slavic to Polish,Polish-Vː,index_diachronica_original.html:7066, / sporadic ; in certain frequently-used words
17.11.1,Proto-Slavic to Polish,Polish-ɔ̃_2,index_diachronica_original.html:7088, sporadic ; (in some regions
17.11.1,Proto-Slavic to Polish,Polish-trk,index_diachronica_original.html:7144, / 
17.12.1.1.1,Classical Latin vs. Vulgar Latin,"Classical-Latin-vs.-Vulgar-Latin-uː-ɔ,oː-eː-iː",index_diachronica_original.html:7338,"; “In contrast, Romanian exhibits"
17.12.1.1.2,Latin to Catalan,Catalan-u,index_diachronica_original.html:7350, / sporadic ; (“when in unstressed penult
17.12.1.1.2,Latin to Catalan,Catalan-iː,index_diachronica_original.html:7351, / [+stress]
17.12.1.1.2,Latin to Catalan,"Catalan-i,eː-e",index_diachronica_original.html:7353, / [+stress]
17.12.1.1.2,Latin to Catalan,Catalan-uː,index_diachronica_original.html:7356, / [+stress]
17.12.1.1.2,Latin to Catalan,"Catalan-u,oː-o",index_diachronica_original.html:7359, / [+stress]
17.12.1.1.2,Latin to Catalan,Catalan-ae-au,index_diachronica_original.html:7365, / [+stress]
17.12.1.1.2,Latin to Catalan,Catalan-ɛj-ɔj,index_diachronica_original.html:7447, / [+stress]
17.12.1.1.3,Latin to French,French-è,index_diachronica_original.html:7486, / 
17.12.1.1.3,Latin to French,French-è_3,index_diachronica_original.html:7488, / 
17.12.1.1.3,Latin to French,French-ò,index_diachronica_original.html:7489, / 
17.12.1.1.3,Latin to French,French-ò_2,index_diachronica_original.html:7490, / 
17.12.1.1.3,Latin to French,French-V,index_diachronica_original.html:7500, / 
17.12.1.1.3,Latin to French,French-é,index_diachronica_original.html:7545, / 
17.12.1.1.3,Latin to French,French-é_2,index_diachronica_original.html:7546, / 
17.12.1.1.3,Latin to French,French-ó,index_diachronica_original.html:7547, / 
17.12.1.1.3,Latin to French,French-ó_3,index_diachronica_original.html:7549, / 
17.12.1.1.3,Latin to French,French-a_3,index_diachronica_original.html:7554, / 
17.12.1.1.4,Vulgar Latin to Italian,Italian-tVk,index_diachronica_original.html:7594, / [-stress]
17.12.1.1.4,Vulgar Latin to Italian,Italian-kVl,index_diachronica_original.html:7598, / [-stress]
17.12.1.1.4,Vulgar Latin to Italian,Italian-ɛ,index_diachronica_original.html:7600, / [-stress]
17.12.1.1.4,Vulgar Latin to Italian,Italian-ɔ,index_diachronica_original.html:7605, / [+stress]
17.12.1.1.5,Latin to Portuguese,"Portuguese-iː-i,eː-e",index_diachronica_original.html:7634, / [+stress]
17.12.1.1.5,Latin to Portuguese,"Portuguese-u,oː-o",index_diachronica_original.html:7640, / [+stress]
17.12.1.1.5,Latin to Portuguese,Portuguese-ae,index_diachronica_original.html:7644, / [+stress]
17.12.1.1.5,Latin to Portuguese,Portuguese-V+nas,index_diachronica_original.html:7659, / [-stress]
17.12.1.1.5,Latin to Portuguese,Portuguese-V+nas_2,index_diachronica_original.html:7660, / 
17.12.1.1.6,Vulgar Latin to Old Provençal,Old-Provençal-—-ɔ_4,index_diachronica_original.html:7746, sporadic ; (in southern dialects
17.12.1.1.6,Vulgar Latin to Old Provençal,Old-Provençal-—-V_3,index_diachronica_original.html:7774," ; (again, "
17.12.1.1.6,Vulgar Latin to Old Provençal,Old-Provençal-ɡ_6,index_diachronica_original.html:7872, / sporadic ; “[b]etween the last two vowels of a proparoxytone”
17.12.1.1.6,Vulgar Latin to Old Provençal,Old-Provençal-kʷ,index_diachronica_original.html:7892,kʷ → ɡʷ → ɡ / sporadic ; (kʷ → ɡʷ → ɡ ?)
17.12.1.1.7,Vulgar Latin to Rhaeto-Romance,Rhaeto-Romance-a,index_diachronica_original.html:7992, / [+stress]
17.12.1.1.7,Vulgar Latin to Rhaeto-Romance,Rhaeto-Romance-uː,index_diachronica_original.html:7993, → i / sporadic ; (→ i in most descendants
17.12.1.1.7,Vulgar Latin to Rhaeto-Romance,Rhaeto-Romance-a-V,index_diachronica_original.html:7994, / 
17.12.1.1.10,Vulgar Latin to Spanish,Spanish-V_5,index_diachronica_original.html:8163, / [-stress]
