section_index,rule_id,error_token,rule
17.12.1.1.3,French-C,₂,"C > ∅ / C=1 _C=2 // C₂ = {r,l}"
17.12.1.1.5,Portuguese-C,₂,C > ∅ / C=1 _C=2 // C₂ = L
17.12.1.1.5,Portuguese-k_6,₂,k > ɡ / V=1 _V=2 // V₂ = ɔ
17.12.1.1.6,Old-Provençal-—-a_3,å,a > å
17.12.1.1.6,Old-Provençal-—-å-ɛ-ɔ,å,å ɛ ɔ > a e o / _N
17.12.1.1.6,Old-Provençal-tj,—,"djʒ > dz or idz —medial {idz,dz} became {iz,z}"
17.12.1.1.10,Spanish-/dɾ/-ðɾ,ð,/dɾ/ [ðɾ] > ɾ / V_V
17.12.1.1.10,Spanish-/ʝ/-ʝ~dʒ,ʝ,"/ʝ/ {[ʝ,dʒ]} > [ʒ"
17.12.1.1.10,Spanish-/ʝ/-ʝ~dʒ,ʝ,"/ʝ/ {[ʝ,dʒ]} > dʒ]"
17.13,"Proto-Tocharian-t,dʱ",ː,"{t,dʱ} > tʲ / _V:[+front](ː)"
18.4.8,Sirionó-aN-eN-iN-ɨN-uN,ĩ,"aN eN iN ɨN uN > ã ẽ j̃ {ɨ̃,ĩ} õ / _#"
20.2.1,ÇHoan-ⁿQʰ-Q͡ɢ,͡,"ⁿQʰ Q͡ɢ > {C:[-front:[+spread],+back:[+spread],-hi:[+spread],-lo]:[+spread],[+click]:[+spread]} {C:[-front,+back,-hi,-lo],[+click]}"
20.2.3,"Southeastern-!Xun-ⁿQʰ-ǀʰ͜q,ǀʰ͜ɢ-Q͡q",͜,"ⁿQʰ {ǀʰ͜q,ǀʰ͜ɢ} Q͡q > ⁿ{C:[-front,+back,-hi,-lo],[+click]}(ʰ) ⁿǀʰ {C:[-front,+back,-hi,-lo],[+click]}[+voice]"
21.2.2.1,Biritai-k,̂,k > ∅ / _V̂
21.2.2.2,Doutai-V,̂,V > dz / _V̂
21.2.2.5,Obokuitai-b-C,̚,b C > b̚ ɡ̚ / _#
21.2.2.7,Waritai-k,̂,k > ∅ / _V̂
25.1.1,Cavineña-*ŕ,ŕ,*ŕ > r
25.1.2,"Chama-r,*ŕ",ŕ,"{r,*ŕ} > {∅,w,j}"
25.1.3,Reyesano-*ŕ,ŕ,*ŕ > ∅
25.1.4,Tacana-*ŕ,ŕ,*ŕ > ∅
28,Muskogean-V,̂,"V > V̂:[+long] / _Cko, ko lost?"
29.1.1.1.11,Han-n,(,n > (ⁿ)d / $_V[-nas]
29.1.1.1.11,Han-a-ɑ-ə-ʊ,ë,"a ɑ ə ʊ > æ a {ə,ë} o"
29.1.1.1.17,Sarcee-ɑ́-ə́-ʊ́,́,ɑ́ ə́ ʊ́ > ɑ̄ ə̄ ʊ̄
29.1.1.1.38,Lower-Tanana-TS-TŠ-TŠᵚ-Q,ᵚ,"P:[-voice]P P:[-voice]ʃ P:[-voice]ʃᵚ {C:[-front,+back,-hi,-lo],[+click]} > P:[-voice][-place] P:[-voice]P P:[-voice]ʂ C:[-front,+back,+hi,-lo]"
30.1.1,Proto-Bantu_2-d2,₂,d₂ > d / _ C=2 position
30.1.2,Proto-Manenguba-’p-’t-’d/d2-c-’ɟ-’k-ɡ,₂,p:[+cg] t:[+cg] d:[+cg]/d₂ c ɟ:[+cg] k:[+cg] ɡ > f l ɟ s w k / _ C=1 position
30.1.2,Proto-Manenguba-’p-’t-’d/d2-c-’ɟ-’k-ɡ,₂,p:[+cg] t:[+cg] d:[+cg]/d₂ c ɟ:[+cg] k:[+cg] ɡ > f l ɟ s w / _ C=1 position
30.1.2,"Proto-Manenguba-p-t-’t-’d,d2-c-k-’k",₂,p t t:[+cg] d₂ c k k:[+cg] > b d l ɟ ɡ / _ C=2 position
30.2.1.1,"Akan-p,ʋ̃-c-k͜p",͜,"{p,ʋ̃} c k͜p > f s p / #_"
35.1.1,Comox-V3ʔ,ː,V3ʔ > V3(ː)ʔ / _#
35.1.2,Chilliwack-Halkomelem-V3ʔ,ː,V3ʔ > V3(ː) / _#
35.1.9,Saanich-Northern-Straits-V3h,ː,V3h > V3(ː) / _C
36.1.1,Old-Mandarin-Cʲ,Ạ,"C:[+cor,+dist] > C {Ạ,F̣}_"
36.1.1,Old-Mandarin-Cʲ_2,̣,"C:[+cor,+dist] > C̣"
36.1.1,Old-Mandarin-w_2,̣,w > ∅ / C̣Cʲ_?w
36.1.1,Old-Mandarin-∅_3,̣,∅ > w / C̣_aŋ
36.1.1,Old-Mandarin-wʲ_3,̣,wʲ > w / C̣_oŋ
36.1.1.1,Modern-Pekingese-j_2,̣,j > ∅ / C̣_
36.1.1.1,Modern-Pekingese-kʰ-h,͡,"{k,kʰ} h > {ɕ͡,ɕ͡ʰ} ɕ / _j"
36.2,Guānhuà-iʔ-iw,̣,iʔ iw > eʔ ew / C̣_
36.2,Guānhuà-y,̣,y > ɥ / C̣_
36.2,Guānhuà-yʔ_5,̣,"yʔ > ɥʔ / C̣, in -juət-types"
36.2,Guānhuà-yʔ_5,̣,"yʔ > yʔ / C̣, in -juət-types"
36.2,Guānhuà-yʔ_5,̣,"yʔ > uʔ / C̣, in -juət-types"
36.2,Guānhuà-yʔ_6,̣,"oʔ > ʊʔ?) / C̣_, in -k-types"
36.2,Guānhuà-yn,̣,yn > un / C̣_
36.2,Guānhuà-je-jeʔ-yeʔ,̣,je jeʔ yeʔ > ɛ ɛʔ uɛʔ / C̣_
36.2,Guānhuà-jew,̣,"jew > au / :{C̣_,C̣C_}:"
36.2,Guānhuà-jew_2,̣,"jew > iau // :{C̣_,C̣C_}:"
36.2,"Guānhuà-jem,jen",̣,"{jem,jen} > iɛn / sometimes after C̣_ (but // ʐ_)"
36.2,Guānhuà-yen,̣,yen > uɛn / C̣_
36.2,"Guānhuà-jawʔ,wawʔ",̣,"{jawʔ,wawʔ} > ɔʔ / C̣_"
36.2,Guānhuà-aŋ-jaŋ,̣,aŋ jaŋ > uaŋ aŋ / C̣_
36.3.2.2.6,Tsa-Ku-Nao-an,ɿ,an > ɿɛ
36.3.2.2.6,Tsa-Ku-Nao-iŋ,ʅ,iŋ > ʅ
37.1.2.1,Cayuga-V1”V2-”V1ːV2,ː,V=1 V:[+stress]=2 1:[+stress] ː2 > 1:[+stress] 2 1:[+stress] [-long]2
37.1.2.3,Onondaga-”VːCCVː,ː,"{V:[+stress](C)(C)V:[+long],Vː:[+stress](C)(C)V:[+long]} > V[-long](C):[+stress]((C)CV[-long] / _#"
37.1.2.6,Tuscarora-n-r-w-j,̊,"n r w j > n̥ r̥ w̥ j̊ / _{#,O}"
37.1.2.6.1,Western-Tuscarora-r̥-w̥-j̊,̊,r̥ w̥ j̊ > s f ʃ
38.1.1.1,Ahom-ŋ̊,̊,ŋ̊ > h
38.1.1.2,Saek-ɲ̊,̊,ɲ̊ > j
40.2,Proto-Totonacan-o-o̰,ṵ,o o̰ > u ṵ
40.2,"Proto-Totonacan-e,ɨ-ḛ-ɨ̰",ḛ,"{e,ɨ} {ḛ ɨ̰} > i ḭ"
42.1,Pre-Finnic-ɤː?-ɑː-æː,ː,"{ɤ,ɤː} ɑ:[+long] æ:[+long] > {ɑ,ɑː} o:[+long] e:[+long] / _[+stress]"
42.1.1.1,Proto-Finnish-pː-tː-tsː-kː,ˑ,p:[+long] t:[+long] ts:[+long] k:[+long] > pˑ tˑ tsˑ kˑ
42.1.1.1,Proto-Finnish-ts-tsˑ-tsː,ˑ,ts tsˑ ts:[+long] > s θˑ θ:[+long]
42.1.1.1.1,Standard-Finnish-pˑ-tˑ-θˑ-kˑ,ˑ,pˑ tˑ θˑ kˑ > p t θ k
42.1.1.1.1,"Standard-Finnish-k,x",˟,"{k,x} > ˟ / _#"
42.1.1.1.1,Standard-Finnish-ɣ_3,₀,ɣ > ʔ / VV=0 _0 // V₀ = %
43.1,Comanche-∅,ᵤ,∅ > h / Vᵤ_k
43.1,Comanche-s,ₙ,s > ∅ / Vₙ_
43.2,Hopi-p,ₙ,p > v / Vₙ_
43.2,Hopi-w_2,ₙ,w > ŋʷ / ɨₙ_
43.3,Luiseño-p,ₙ,"p > v / {Vₙ,ɨ}_"
43.3,Luiseño-k_2,ₙ,k > q / aₙ_
43.4,Nahuatl-p,ₛ,"p > ∅ / {#,Vₛ}_"
43.6,Tohono-O’odham-p,ₛ,"p > w / {#,Vₛ}_"
44.1,Aquitanian-S+-fortis,〈,"t:[+long] k:[+long], both of the tokens with optional length suffixes and *aP:[-voice]a > 〈atta〉, so I:[+cg]m extrapolating)"
44.2,Basque-u-ũ_2,̻,"u ũ > y ỹ / _{s̻,ts̺,ts̻}"
44.2,Basque-∅_3,̺,"∅ > e / #_{s̺,s̻}C"
44.2,Basque-a-o-e,ɛ,"a o e > ɛ u i / {i,iC,0,u,uC,0}_ (this [ɛ] is tentatively marked as such"
44.2,Basque-∅_4,̺,"∅ > j / V_{N,s̺,s̻}P"
44.2,Basque-s̻-ts̻,̻,"s̻ ts̻ > ʃ tʃ / {V:[+front],j}_"
44.2,Basque-aʊ,̺,"aʊ > aɪ // _{ɾ,r,s̺,s̻}"
44.2,Basque-s̻-ts̺,̻,s̻ ts̺ > s̺ ts̻
44.2,Basque-s̻,̻,"s̻ > s̺ / _{C,#}"
44.2,Basque-its̺,̺,its̺ > tʃ / _#
44.2,Basque-s̺,̺,s̺ > tʃ / #_
44.2,Basque-s̺_2,̺,s̺ > ʃ̺according to Campbell
46.14,Pre-Slavic-Vowel-Changes-aj,₂,aj > æ₂
46.14,Pre-Slavic-Vowel-Changes-aj,₂,aj > i₂
46.14,Pre-Slavic-Vowel-Changes-u,ɤ,u > u [ɤ?]
47.1,List-1:-Simple-Consonant-Changes-b,#,"b > #c, -nc-"
